,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
1047,ELEMENTS,Motor Yachts,12.0,12.0,25.0,80.0,2019,Custom,130286,146571,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",130286,146571,"Bermuda, Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts, Central America, Belize, Costa Rica",Virgin Islands,The opulent 80m (263ft) superyacht ELEMENTS was built in 2018 by Yachtley. The yacht's sumptuous interior has been designed by Cristiano Gatto Design and she boasts impressive exterior styling by Alpha Marine.
1048,ELENA,Motor Yachts,13.0,6.0,5.0,30.0,2023,Custom,4571,4571,"Mediterranean, Greece",Mykonos,4571,4571,"Mediterranean, Greece",Mykonos,"The 30.45m/99'11"" 'Elena' motor yacht built by shipyard Perama is available for charter for up to 13 guests in 6 cabins."
1049,ELENA NUEVE,Motor Yachts,12.0,5.0,7.0,36.58,2018,Classic 120',18786,22429,,"Ibiza, The Balearics",18786,22429,,,"The 36.6m/120'1"" 'Elena Nueve' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 5 cabins."
1050,ELENA OF LONDON,Classic Yachts,10.0,5.0,8.0,54.99,2009,Custom,16714,18429,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",16714,16714,,,"The 55m/180'5"" classic yacht 'Elena of London' by shipyard Marin LuxurYachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Steve McLaren."
1051,ELENA V,Motor Yachts,12.0,6.0,11.0,49.91,2023,Custom,31786,39071,"Mediterranean, Croatia, Greece, Italy, Malta, Montenegro, Turkey","Abu Dhabi, Amalfi Coast, Dubai, Mykonos, Sardinia",31786,39071,"Mediterranean, Croatia, Greece, Italy, Malta, Montenegro, Turkey","Abu Dhabi, Amalfi Coast, Dubai, Mykonos, Sardinia","The 49.9m/163'9"" motor yacht 'Elena V' by the Italian shipyard Codecasa offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Della Role Design."
1052,ELENI,Motor Yachts,10.0,5.0,6.0,33.7,2018,Custom,11429,13714,"Mediterranean, Croatia, France, Italy, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia",11429,13714,,,"The 33.68m/110'6"" 'Eleni' motor yacht built by shipyard CBI Navi is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Umberto Tagliavini."
1053,ELENI,Motor Yachts,12.0,6.0,13.0,50.0,2017,Custom,32500,38357,"Mediterranean, France, Italy, Malta, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",32500,38357,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",The 50.9m/167' motor yacht 'Eleni' by shipyard CBI Navi offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer LUCA DINI Design & Architecture.
1054,ELENI,Motor Yachts,12.0,6.0,15.0,59.99,2014,CRN 60,53643,60286,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",53643,60286,,,"The 60m/196'10"" motor yacht 'Eleni' (ex. Light Holic) by the Italian shipyard CRN Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Negoescu."
1055,ELENTARI,Open Yachts,6.0,3.0,3.0,22.25,2021,Predator 72,4000,4214,"Mediterranean, Greece",Mykonos,3571,4214,"Mediterranean, Greece",Mykonos,The 22.25m/73' open yacht 'Elentari' by the British shipyard Sunseeker offers flexible accommodation for up to 6 guests in 3 cabins.
1056,ELEVEN I,Open Yachts,9.0,4.0,5.0,27.61,2013,Custom,6857,7357,"Mediterranean, Greece, Turkey",Mykonos,6857,6857,"Mediterranean, Greece",Mykonos,"The 27.6m/90'7"" 'Eleven I' open yacht built by shipyard Italcraft is available for charter for up to 9 guests in 4 cabins."
